,CG_RMSD
normalized_rhofold_rp14_bound.pdb,0.32944485013332875
normalized_best_rp14_bound_21.pdb,1.7744116037624464
normalized_trrosettarna_rp14_bound_2.pdb,0.7050302009436161
normalized_best_rp14_bound_3.pdb,1.3954773159891876
normalized_best_rp14_bound_16.pdb,1.7870841617518247
normalized_best_rp14_bound_18.pdb,1.2508615530460108
normalized_best_rp14_bound_26.pdb,1.3065131267499335
normalized_best_rp14_bound_50.pdb,1.7622033119884586
normalized_3drna_rp14_bound_5.pdb,1.8409705486124288
normalized_isrna_rp14_bound.pdb,14.670732529746873
normalized_best_rp14_bound_35.pdb,1.8291233687314552
normalized_mcsym_rp14_bound_5.pdb,1.713251314143724
normalized_best_rp14_bound_56.pdb,1.5227717118309974
normalized_best_rp14_bound_36.pdb,1.317116280863089
normalized_best_rp14_bound_42.pdb,1.8357985834468198
normalized_alphafold3_rp14_bound_3.pdb,1.8538202126969539
normalized_best_rp14_bound_47.pdb,1.8163473185485275
normalized_best_rp14_bound_5.pdb,1.2995283535835587
normalized_best_rp14_bound_24.pdb,1.8062571289421774
normalized_best_rp14_bound_19.pdb,1.8166351738933666
normalized_best_rp14_bound_13.pdb,1.5292702362343684
normalized_best_rp14_bound_31.pdb,1.3384036720431995
normalized_best_rp14_bound_34.pdb,0.7368657423757142
normalized_trrosettarna_rp14_bound_5.pdb,1.0158096388926414
normalized_mcsym_rp14_bound_3.pdb,3.525071935527089
normalized_best_rp14_bound_40.pdb,1.7651075438526962
normalized_best_rp14_bound_52.pdb,2.553135849005865
normalized_best_rp14_bound_9.pdb,1.333201412512477
normalized_best_rp14_bound_43.pdb,1.7650532449014942
normalized_best_rp14_bound_37.pdb,1.3674555123486982
normalized_best_rp14_bound_1.pdb,1.4695900470349819
normalized_3drna_rp14_bound_3.pdb,2.4213488832473966
normalized_rnajp_rp14_bound.pdb,0.7358229214517918
normalized_best_rp14_bound_12.pdb,1.3711676813946307
normalized_best_rp14_bound_29.pdb,1.3697392729006101
normalized_best_rp14_bound_59.pdb,1.4524478386488133
normalized_3drna_rp14_bound_1.pdb,1.7800545584104677
normalized_vfold_rp14_bound.pdb,15.205589803589215
normalized_best_rp14_bound_57.pdb,1.4377198731071628
normalized_best_rp14_bound_38.pdb,1.755518949061337
normalized_alphafold3_rp14_bound_1.pdb,1.888705654363875
normalized_ifoldrna_rp14_bound_1.pdb,19.37862082893471
normalized_best_rp14_bound_20.pdb,1.8063530678682154
normalized_best_rp14_bound_62.pdb,1.418414223196918
normalized_best_rp14_bound_53.pdb,1.280482211508158
normalized_best_rp14_bound_14.pdb,1.395891789738551
normalized_best_rp14_bound_27.pdb,1.356367563854237
normalized_best_rp14_bound_10.pdb,1.3707870411226306
normalized_best_rp14_bound_28.pdb,0.7357929269332163
normalized_best_rp14_bound_39.pdb,1.4395604197087688
normalized_best_rp14_bound_44.pdb,1.400340627014272
normalized_best_rp14_bound_32.pdb,1.8020104029911261
normalized_alphafold3_rp14_bound_5.pdb,1.9910981221930701
normalized_mcsym_rp14_bound_1.pdb,3.12989672882702
normalized_alphafold3_rp14_bound_4.pdb,1.8925602224187226
normalized_best_rp14_bound_17.pdb,1.756672392693284
normalized_ifoldrna_rp14_bound_3.pdb,19.383401982754137
normalized_best_rp14_bound_45.pdb,1.3345411834687788
normalized_best_rp14_bound_23.pdb,1.4377198731071628
normalized_rnacomposer_rp14_bound.pdb,0.9002150675809666
normalized_best_rp14_bound_30.pdb,1.370242962906037
normalized_vfoldpipeline_rp14_bound.pdb,15.221405677968988
normalized_mcsym_rp14_bound_2.pdb,1.1979194992050397
normalized_ifoldrna_rp14_bound_2.pdb,19.36293459042007
normalized_best_rp14_bound_54.pdb,1.3214215290389446
normalized_best_rp14_bound_61.pdb,1.7970703201459788
normalized_trrosettarna_rp14_bound_4.pdb,0.7016586763512709
normalized_best_rp14_bound_63.pdb,1.429929569057294
normalized_best_rp14_bound_48.pdb,1.3547979431135801
normalized_best_rp14_bound_22.pdb,1.4524478386488133
normalized_ifoldrna_rp14_bound_5.pdb,19.39574538303818
normalized_best_rp14_bound_33.pdb,1.4440080525170402
normalized_best_rp14_bound_55.pdb,1.3541916453461822
normalized_best_rp14_bound_4.pdb,1.8113172286999377
normalized_3drna_rp14_bound_2.pdb,1.8519642621282695
normalized_best_rp14_bound_25.pdb,1.7744116037624464
normalized_trrosettarna_rp14_bound_3.pdb,0.7131231134980638
normalized_best_rp14_bound_64.pdb,1.4868740479688627
normalized_best_rp14_bound_8.pdb,1.4650560036836515
normalized_best_rp14_bound_7.pdb,1.356367563854237
normalized_alphafold3_rp14_bound_2.pdb,1.9101294756930332
normalized_best_rp14_bound_51.pdb,1.7664501248945728
normalized_eprna_rp14_bound.pdb,1.0520939946860968
normalized_trrosettarna_rp14_bound_1.pdb,0.7074616498808325
normalized_ifoldrna_rp14_bound_4.pdb,19.364613975783556
normalized_best_rp14_bound_2.pdb,1.8370313456637226
normalized_best_rp14_bound_6.pdb,1.8118311289301225
normalized_simrna_rp14_bound.pdb,2.0964171712930213
